AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,FUNC_1,Attr
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;FUNC_1=func=inline;-100
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;FUNC_1=func=inline;-50
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,0,Cyber,array=REG,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;FUNC_1=func=inline;0
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,50,Cyber,array=REG,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;FUNC_1=func=inline;50
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,100,Cyber,array=REG,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;FUNC_1=func=inline;100
1349,7,337,732,242,14,2310,1061,7,7,7.00,24,0,2.638ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,unroll_times=0,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=3;FUNC_1=func=inline;-100
1547,6,545,732,233,14,2688,1280,6,6,6.00,23,0,3.258ns,-,-,-,-,15,-,-,-50,Cyber,array=REG,unroll_times=0,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=3;FUNC_1=func=inline;-50
1547,6,545,732,233,14,2688,1280,6,6,6.00,23,0,3.258ns,-,-,-,-,15,-,-,0,Cyber,array=REG,unroll_times=0,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=3;FUNC_1=func=inline;0
1783,6,758,756,233,14,3140,1536,6,6,6.00,22,0,3.042ns,-,-,-,-,15,-,-,50,Cyber,array=REG,unroll_times=0,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=3;FUNC_1=func=inline;50
1783,6,758,756,233,14,3140,1536,6,6,6.00,22,0,3.042ns,-,-,-,-,15,-,-,100,Cyber,array=REG,unroll_times=0,unroll_times=3,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=3;FUNC_1=func=inline;100
1061,7,119,624,276,14,1954,843,7,7,7.00,28,0,1.2025ns,-,-,-,-,19,-,-,-100,Cyber,array=REG,unroll_times=0,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;FUNC_1=func=inline;-100
1066,4,284,570,185,14,1847,847,4,4,4.00,13,0,1.525ns,-,-,-,-,10,-,-,-50,Cyber,array=REG,unroll_times=0,unroll_times=4,func=inline,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;FUNC_1=func=inline;-50
