AREA,Latency,FU,REG,MUX,DEC,Pin_Pair,Net,MISC,CP_delay,BlockMemoryBit,DSP,Fu_ratio,attributes
60,17,20,26,32,5,204,107,3,2.92,64,0,-50,ARRAY_1~array=REG;LOOP_1~unroll_times=0;LOOP_2~folding=1
110,19,25,29,53,8,317,143,24,5.12,64,0,-50,ARRAY_1~array=RAM;LOOP_1~folding=1;LOOP_2~unroll_times=3
75,23,12,31,44,11,245,109,8,2.9201,64,0,0,ARRAY_1~array=RAM;LOOP_1~unroll_times=4;LOOP_2~unroll_times=0
56,1,56,64,0,0,203,140,0,4.04,0,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=4;LOOP_2~unroll_times=7
51,8,12,85,37,1,240,73,1,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~unroll_times=0
342,10,40,102,296,4,950,238,2,5.79,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=4
309,17,20,90,281,5,771,161,3,4.57,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~folding=1
934,10,58,154,855,6,2326,561,15,9.6726,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=3;LOOP_2~unroll_times=3
465,13,58,86,391,5,1149,253,11,9.54,0,0,0,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~folding=1;LOOP_2~unroll_times=3
51,8,12,85,37,1,240,73,1,4,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=4;LOOP_2~folding=0
65,9,12,86,50,2,267,77,1,4.57,0,0,-50,ARRAY_1~array=EXPAND+array_index=const;LOOP_1~unroll_times=7;LOOP_2~folding=1
90,17,32,30,43,8,272,131,7,2.92,64,0,0,ARRAY_1~array=REG;LOOP_1~unroll_times=3;LOOP_2~folding=1
