AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,LOOP_1,LOOP_2,Attr
6966,2,5883,930,153,0,10601,5305,2,2,2.00,0,0,5.104ns,-,-,-,-,2,-,-,-50,Cyber,array=REG,array=REG,unroll_times=5,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=unroll_times=all;-50
5248,4,1213,1572,2454,0,10580,4120,4,4,4.00,9,0,3.6767ns,-,-,-,-,20,-,-,0,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=1;0
12824,2,10743,1566,512,0,19845,9680,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=0;100
14611,6,9187,2748,2622,15,25319,11163,6,6,6.00,39,0,5.268ns,-,-,-,-,10,-,-,0,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=4,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=5;0
8146,7,1245,2796,4046,15,16953,6384,7,7,7.00,44,0,3.7367ns,-,-,-,-,19,-,-,0,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=4;LOOP_2=folding=0;0
5036,5,2560,1860,604,0,7835,3774,5,5,5.00,12,0,5.225ns,-,-,-,-,9,-,-,0,Cyber,array=REG,array=REG,unroll_times=all,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=4;0
29693,3,24557,2772,2317,0,46991,21744,3,3,3.00,47,0,6.8649ns,-,-,-,-,12,-,-,0,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;0
9114,8,5959,2346,768,0,14075,6730,8,8,8.00,41,-,4.5367ns,-,-,-,-,21,-,-,100,Cyber,array=RAM,array=REG,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=4;100
7669,12,5898,1140,591,0,12656,6105,12,12,12.00,40,-,5.204ns,-,-,-,-,20,-,-,50,Cyber,array=RAM,array=RAM,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=all;50
4579,4,1216,1572,1764,0,8638,3545,4,4,4.00,27,0,3.6967ns,-,-,-,-,20,-,-,-50,Cyber,array=REG,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;-50
5546,4,1207,2340,1966,0,10073,4145,4,4,4.00,33,-,3.7367ns,-,-,-,-,28,-,-,0,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=folding=0;0
1840,4,1213,294,290,0,3243,1677,5,5,5.00,43,-,3.2968ns,-,-,-,-,21,-,-,100,Cyber,array=RAM,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;100
7273,3,5143,1572,547,0,10972,5247,3,3,3.00,11,0,3.9517ns,-,-,-,-,11,-,-,-50,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=1;-50
12348,3,6013,2772,3540,0,22589,9430,3,3,3.00,23,0,6.7849ns,-,-,-,-,12,-,-,100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=4;100
3221,2,1207,1566,445,0,4717,2327,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,-50,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=5,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=0;-50
6009,3,1207,2772,2003,0,10569,4381,3,3,3.00,27,0,3.7367ns,-,-,-,-,19,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=folding=0;-100
3860,12,1494,1566,750,0,6861,3188,12,12,12.00,50,-,3.9952ns,-,-,-,-,20,-,-,-50,Cyber,array=RAM,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;-50
4132,12,1327,1998,758,0,6921,3204,12,12,12.00,49,0,4.0702ns,-,-,-,-,20,-,-,-100,Cyber,array=REG,array=REG,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=5;-100
10518,4,5990,2340,2155,0,18160,7973,4,4,4.00,33,-,4.0117ns,-,-,-,-,28,-,-,50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;50
11854,12,10148,1224,443,0,18433,8959,12,12,12.00,39,-,4.874ns,-,-,-,-,20,-,-,100,Cyber,array=RAM,array=RAM,folding=1,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=5;100
2741,11,1207,1032,462,0,4538,2154,11,11,11.00,40,-,3.694ns,-,-,-,-,27,-,-,-100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;-100
4991,12,1494,2478,967,0,8508,3879,12,12,12.00,52,-,3.9952ns,-,-,-,-,20,-,-,-50,Cyber,array=RAM,array=REG,unroll_times=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=5;-50
2377,5,1207,756,365,0,3905,1981,6,6,6.00,49,-,3.634ns,-,-,-,-,22,-,-,-100,Cyber,array=REG,array=RAM,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=folding=1;LOOP_2=folding=1;-100
4161,5,1213,1170,1744,0,8269,3374,5,5,5.00,34,-,3.6967ns,-,-,-,-,29,-,-,-100,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;-100
5253,5,1207,1578,2457,0,10593,4129,5,5,5.00,11,0,3.6767ns,-,-,-,-,21,-,-,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;-100
2367,11,1207,762,343,0,3995,2024,12,12,12.00,55,-,3.634ns,-,-,-,-,20,-,-,-100,Cyber,array=EXPAND+array_index=const,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;-100
3264,3,1207,1572,479,0,4902,2409,3,3,3.00,6,0,3.6767ns,-,-,-,-,11,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=1;-100
9123,5,5981,1170,1933,0,16369,7211,5,5,5.00,39,-,3.9717ns,-,-,-,-,29,-,-,50,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=0;50
4188,5,1207,1188,1742,0,8295,3384,6,6,6.00,51,-,3.6767ns,-,-,-,-,22,-,-,0,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;0
1789,11,1207,306,237,0,3194,1638,12,12,12.00,39,-,3.2968ns,-,-,-,-,20,-,-,0,Cyber,array=RAM,array=RAM,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;LOOP_1=unroll_times=5;LOOP_2=folding=1;0
3221,2,1207,1566,445,0,4717,2327,2,2,2.00,3,0,3.7367ns,-,-,-,-,10,-,-,-50,Cyber,array=EXPAND+array_index=const,array=REG,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=0;-50
2886,11,1207,1194,430,0,4662,2325,12,12,12.00,55,-,3.6767ns,-,-,-,-,20,-,-,0,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=5,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=5;LOOP_2=folding=1;0
4188,5,1207,1188,1742,0,8295,3384,6,6,6.00,51,-,3.6767ns,-,-,-,-,22,-,-,-100,Cyber,array=RAM,array=EXPAND+array_index=const,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=1;-100
