AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,LOOP_1,LOOP_2,Attr
386,10,51,405,317,10,1748,603,10,10,10.00,8,0,13.0325ns,-,-,-,-,10,0,1,-100,Cyber,array=RAM,array=REG,unroll_times=5,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=unroll_times=5;LOOP_2=unroll_times=5;-100
513,4,45,263,441,4,1453,499,4,4,4.00,23,0,9.67ns,-,-,-,-,20,0,1,-100,Cyber,array=EXPAND+array_index=const,array=REG,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=1;LOOP_2=folding=0;-100
1054,12,84,599,940,12,3333,836,12,12,12.00,18,-,11.9525ns,-,-,-,-,20,72,1,0,Cyber,array=RAM,array=EXPAND+array_index=const,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=5;0
433,11,172,252,239,11,1359,608,11,11,11.00,11,-,13.385ns,-,-,-,-,27,72,5,50,Cyber,array=RAM,array=EXPAND+array_index=const,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=0;50
2137,15,87,600,1975,15,5799,1280,15,15,15.00,60,0,11.9525ns,-,-,-,-,19,72,1,-100,Cyber,array=REG,array=EXPAND+array_index=const,unroll_times=4,unroll_times=5,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;LOOP_1=unroll_times=4;LOOP_2=unroll_times=5;-100
808,10,139,401,606,10,2693,953,10,10,10.00,53,0,13.42ns,-,-,-,-,14,216,2,0,Cyber,array=REG,array=REG,unroll_times=4,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=all;0
755,12,58,529,659,12,2664,793,12,12,12.00,26,0,13.63ns,-,-,-,-,20,144,1,-100,Cyber,array=EXPAND+array_index=const,array=REG,folding=0,unroll_times=5,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=5;-100
302,15,66,243,204,15,1252,543,15,15,15.00,17,-,11.75ns,-,-,-,-,20,216,1,-100,Cyber,array=REG,array=RAM,unroll_times=all,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;LOOP_1=unroll_times=all;LOOP_2=unroll_times=4;-100
347,5,109,290,216,5,1326,660,5,5,5.00,17,0,9.29ns,-,-,-,-,15,216,2,0,Cyber,array=REG,array=REG,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;0
176,4,40,263,113,4,794,417,4,4,4.00,19,-,7.7701ns,-,-,-,-,28,216,1,-100,Cyber,array=RAM,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;-100
