AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,ARRAY_3,ARRAY_4,ARRAY_5,LOOP_1,LOOP_2,LOOP_3,LOOP_4,LOOP_5,Attr
15351,16,13385,1146,741,0,25727,11081,17,17,17.00,79,-,17.1345ns,-,-,-,-,60,-,-,0,Cyber,array=REG,array=RAM,array=REG,array=RAM,array=RAM,folding=0,folding=1,unroll_times=2,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=REG;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=unroll_times=2;LOOP_4=unroll_times=4;LOOP_5=unroll_times=0;0
14866,12,10370,1344,2993,0,29748,12213,12,12,12.00,159,-,14.0396ns,-,-,-,-,64,-,-,-50,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=EXPAND+array_index=const,array=REG,array=RAM,unroll_times=0,folding=0,unroll_times=0,unroll_times=0,unroll_times=2,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=REG;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;LOOP_5=unroll_times=2;-50
19280,11,15863,2076,1281,14,32438,13992,11,11,11.00,46,-,16.5602ns,-,-,-,-,40,-,-,-50,Cyber,array=REG,array=REG,array=LOGIC,array=RAM,array=REG,folding=1,unroll_times=4,unroll_times=4,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;ARRAY_3=array=LOGIC;ARRAY_4=array=RAM;ARRAY_5=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=4;LOOP_3=unroll_times=4;LOOP_4=folding=1;LOOP_5=folding=0;-50
18658,11,14201,1404,2884,0,35723,14787,13,13,13.00,169,-,13.0158ns,-,-,-,-,51,-,-,-50,Cyber,array=RAM,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=RAM,array=RAM,folding=0,folding=1,folding=1,folding=0,unroll_times=2,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=folding=0;LOOP_5=unroll_times=2;-50
26532,9,16314,1914,8111,0,57392,22060,9,9,9.00,193,0,11.4836ns,-,-,-,-,33,-,-,-50,Cyber,array=REG,array=RAM,array=EXPAND+array_index=const,array=LOGIC,array=EXPAND+array_index=const,folding=1,unroll_times=2,folding=1,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=LOGIC;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=2;LOOP_3=folding=1;LOOP_4=folding=0;LOOP_5=folding=1;-50
27746,4,22531,1638,3489,0,50812,21286,4,4,4.00,88,0,15.3037ns,-,-,-,-,18,-,-,0,Cyber,array=EXPAND+array_index=const,array=RAM,array=EXPAND+array_index=const,array=REG,array=EXPAND+array_index=const,unroll_times=all,folding=0,folding=0,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=REG;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=1;LOOP_5=folding=0;0
20660,22,8616,2700,8881,0,48518,17555,22,22,22.00,463,0,14.361ns,-,-,-,-,87,-,-,-100,Cyber,array=LOGIC,array=EXPAND+array_index=const,array=REG,array=EXPAND+array_index=const,array=EXPAND+array_index=const,folding=1,folding=0,unroll_times=0,unroll_times=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;LOOP_5=unroll_times=4;-100
36666,4,27770,1824,6922,0,71374,29219,4,4,4.00,150,0,14.3196ns,-,-,-,-,18,-,-,0,Cyber,array=REG,array=RAM,array=RAM,array=EXPAND+array_index=const,array=EXPAND+array_index=const,unroll_times=0,unroll_times=2,folding=0,folding=0,unroll_times=2,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=RAM;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=2;LOOP_3=folding=0;LOOP_4=folding=0;LOOP_5=unroll_times=2;0
44196,6,39253,1656,3266,0,76102,33431,6,6,6.00,21,-,12.4938ns,-,-,-,-,27,-,-,100,Cyber,array=LOGIC,array=EXPAND+array_index=const,array=RAM,array=LOGIC,array=REG,unroll_times=all,unroll_times=2,unroll_times=4,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=LOGIC;ARRAY_5=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=2;LOOP_3=unroll_times=4;LOOP_4=folding=0;LOOP_5=folding=0;100
19869,8,16232,1884,1686,14,34615,14876,8,8,8.00,53,-,12.4113ns,-,-,-,-,33,-,-,-50,Cyber,array=REG,array=REG,array=RAM,array=EXPAND+array_index=const,array=REG,folding=0,folding=1,folding=1,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;ARRAY_3=array=RAM;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=REG;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=unroll_times=0;LOOP_5=folding=1;-50
40821,16,34649,1824,4118,0,74953,33213,18,18,18.00,230,-,12.2854ns,-,-,-,-,52,-,-,50,Cyber,array=LOGIC,array=REG,array=EXPAND+array_index=const,array=LOGIC,array=RAM,folding=1,folding=0,unroll_times=4,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=REG;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=LOGIC;ARRAY_5=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=unroll_times=4;LOOP_4=unroll_times=4;LOOP_5=folding=1;50
18674,20,13362,2718,2476,14,33646,13907,21,21,21.00,104,-,11.4303ns,-,-,-,-,39,-,-,-100,Cyber,array=LOGIC,array=LOGIC,array=REG,array=RAM,array=REG,folding=1,folding=1,folding=0,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;ARRAY_4=array=RAM;ARRAY_5=array=REG;LOOP_1=folding=1;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=unroll_times=all;LOOP_5=folding=1;-100
19392,16,15615,1776,1933,0,34873,14722,16,16,16.00,68,-,13.1865ns,-,-,-,-,101,-,-,0,Cyber,array=RAM,array=RAM,array=REG,array=LOGIC,array=RAM,unroll_times=0,unroll_times=0,unroll_times=0,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=REG;ARRAY_4=array=LOGIC;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=all;LOOP_5=folding=0;0
17223,13,15012,1278,844,0,29316,12620,15,15,15.00,89,-,11.8231ns,-,-,-,-,40,-,-,0,Cyber,array=RAM,array=LOGIC,array=RAM,array=REG,array=RAM,folding=1,folding=1,unroll_times=4,folding=1,unroll_times=2,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;ARRAY_4=array=REG;ARRAY_5=array=RAM;LOOP_1=folding=1;LOOP_2=folding=1;LOOP_3=unroll_times=4;LOOP_4=folding=1;LOOP_5=unroll_times=2;0
18469,14,13209,2340,2836,14,34070,14009,14,14,14.00,70,0,12.5103ns,-,-,-,-,33,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,array=LOGIC,array=REG,array=REG,unroll_times=0,folding=1,unroll_times=all,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=LOGIC;ARRAY_4=array=REG;ARRAY_5=array=REG;LOOP_1=unroll_times=0;LOOP_2=folding=1;LOOP_3=unroll_times=all;LOOP_4=unroll_times=4;LOOP_5=folding=1;-100
27780,10,20667,2898,4076,14,50726,20760,10,10,10.00,125,0,13.688ns,-,-,-,-,32,-,-,0,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=REG,unroll_times=0,unroll_times=0,unroll_times=4,unroll_times=all,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=4;LOOP_4=unroll_times=all;LOOP_5=folding=1;0
15191,12,9752,2784,2597,0,28197,11648,12,12,12.00,58,0,15.8297ns,-,-,-,-,25,-,-,-100,Cyber,array=RAM,array=LOGIC,array=LOGIC,array=LOGIC,array=REG,unroll_times=all,unroll_times=all,unroll_times=2,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=LOGIC;ARRAY_4=array=LOGIC;ARRAY_5=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;LOOP_3=unroll_times=2;LOOP_4=folding=1;LOOP_5=folding=1;-100
27807,13,20889,1350,5296,0,53682,21614,14,14,14.00,272,-,12.3806ns,-,-,-,-,48,-,-,0,Cyber,array=REG,array=EXPAND+array_index=const,array=LOGIC,array=RAM,array=RAM,unroll_times=0,unroll_times=0,unroll_times=4,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=LOGIC;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=4;LOOP_4=folding=1;LOOP_5=folding=1;0
23785,7,15472,1884,6272,0,49246,19283,7,7,7.00,157,0,15.743ns,-,-,-,-,32,-,-,-50,Cyber,array=RAM,array=EXPAND+array_index=const,array=LOGIC,array=RAM,array=EXPAND+array_index=const,folding=0,folding=1,folding=1,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=LOGIC;ARRAY_4=array=RAM;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=1;LOOP_3=folding=1;LOOP_4=folding=0;LOOP_5=unroll_times=0;-50
28026,4,25880,1584,545,0,44593,20182,4,4,4.00,17,0,13.0082ns,-,-,-,-,18,-,-,0,Cyber,array=REG,array=EXPAND+array_index=const,array=RAM,array=LOGIC,array=REG,unroll_times=all,folding=1,unroll_times=all,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=LOGIC;ARRAY_5=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=unroll_times=all;LOOP_4=unroll_times=all;LOOP_5=folding=0;0
14782,7,9928,2010,2784,0,28341,11633,7,7,7.00,60,-,11.4236ns,-,-,-,-,28,-,-,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=RAM,array=LOGIC,array=REG,unroll_times=all,unroll_times=0,unroll_times=0,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=LOGIC;ARRAY_5=array=REG;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;LOOP_5=folding=1;-100
29967,5,22961,1812,5101,0,57605,23943,5,5,5.00,93,0,15.1495ns,-,-,-,-,23,-,-,0,Cyber,array=LOGIC,array=LOGIC,array=REG,array=REG,array=EXPAND+array_index=const,folding=0,folding=0,unroll_times=all,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=LOGIC;ARRAY_3=array=REG;ARRAY_4=array=REG;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=unroll_times=all;LOOP_4=folding=1;LOOP_5=folding=0;0
22067,16,9585,2418,9724,0,51605,18691,16,16,16.00,340,0,12.2872ns,-,-,-,-,42,-,-,-100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=RAM,array=LOGIC,array=EXPAND+array_index=const,unroll_times=0,unroll_times=4,unroll_times=all,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=LOGIC;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=4;LOOP_3=unroll_times=all;LOOP_4=unroll_times=0;LOOP_5=folding=0;-100
18736,17,15004,1734,1886,0,33800,14269,19,19,19.00,112,-,19.3747ns,-,-,-,-,53,-,-,-50,Cyber,array=RAM,array=LOGIC,array=LOGIC,array=RAM,array=RAM,folding=1,unroll_times=all,folding=0,folding=1,unroll_times=2,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=LOGIC;ARRAY_3=array=LOGIC;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=all;LOOP_3=folding=0;LOOP_4=folding=1;LOOP_5=unroll_times=2;-50
31726,7,22697,1836,7019,0,63625,25423,7,7,7.00,174,0,18.0738ns,-,-,-,-,28,-,-,0,Cyber,array=EXPAND+array_index=const,array=LOGIC,array=LOGIC,array=LOGIC,array=EXPAND+array_index=const,folding=1,unroll_times=2,unroll_times=0,folding=1,unroll_times=0,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=LOGIC;ARRAY_3=array=LOGIC;ARRAY_4=array=LOGIC;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=1;LOOP_2=unroll_times=2;LOOP_3=unroll_times=0;LOOP_4=folding=1;LOOP_5=unroll_times=0;0
31590,6,22866,1830,6715,0,63249,25325,6,6,6.00,179,0,18.1745ns,-,-,-,-,27,-,-,0,Cyber,array=REG,array=RAM,array=REG,array=LOGIC,array=EXPAND+array_index=const,unroll_times=0,unroll_times=2,folding=1,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=REG;ARRAY_4=array=LOGIC;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=0;LOOP_2=unroll_times=2;LOOP_3=folding=1;LOOP_4=folding=0;LOOP_5=folding=0;0
