AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,ARRAY_3,ARRAY_4,ARRAY_5,LOOP_1,LOOP_2,LOOP_3,LOOP_4,LOOP_5,Attr
1823,18,457,542,1248,18,7307,2090,20,20,20.00,100,-,39.645ns,-,-,-,-,52,248,15,-100,Cyber,array=RAM,array=EXPAND+array_index=const,array=REG,array=REG,array=RAM,folding=1,folding=1,folding=0,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;ARRAY_4=array=REG;ARRAY_5=array=RAM;LOOP_1=folding=1;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=folding=1;LOOP_5=unroll_times=all;-100
2257,7,1073,383,1135,7,7575,2650,7,7,7.00,42,0,36.205ns,-,-,-,-,19,128,19,0,Cyber,array=LOGIC,array=REG,array=LOGIC,array=EXPAND+array_index=const,array=REG,folding=0,unroll_times=4,unroll_times=4,unroll_times=2,unroll_times=2,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=REG;ARRAY_3=array=LOGIC;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=4;LOOP_3=unroll_times=4;LOOP_4=unroll_times=2;LOOP_5=unroll_times=2;0
447,10,253,200,155,10,1724,842,11,11,11.00,29,-,25.855ns,-,-,-,-,54,496,24,100,Cyber,array=LOGIC,array=RAM,array=RAM,array=RAM,array=RAM,unroll_times=0,folding=0,unroll_times=0,folding=1,folding=1,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=RAM;ARRAY_3=array=RAM;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=folding=1;LOOP_5=folding=1;100
3029,6,791,325,2146,6,11660,2769,6,6,6.00,86,0,40.655ns,-,-,-,-,34,0,16,-50,Cyber,array=REG,array=RAM,array=LOGIC,array=EXPAND+array_index=const,array=EXPAND+array_index=const,unroll_times=all,unroll_times=0,folding=0,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=LOGIC;ARRAY_4=array=EXPAND+array_index=const;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=0;LOOP_3=folding=0;LOOP_4=folding=1;LOOP_5=folding=0;-50
4154,12,778,616,3203,12,17560,3843,12,12,12.00,161,0,41.685ns,-,-,-,-,30,0,9,-100,Cyber,array=RAM,array=EXPAND+array_index=const,array=RAM,array=REG,array=EXPAND+array_index=const,unroll_times=all,unroll_times=all,folding=1,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;ARRAY_4=array=REG;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=unroll_times=all;LOOP_2=unroll_times=all;LOOP_3=folding=1;LOOP_4=unroll_times=4;LOOP_5=unroll_times=0;-100
4841,15,1382,624,3259,15,18128,4879,15,15,15.00,185,-,46.37ns,-,-,-,-,58,256,16,0,Cyber,array=LOGIC,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=RAM,array=RAM,unroll_times=0,unroll_times=2,folding=0,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=RAM;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=unroll_times=2;LOOP_3=folding=0;LOOP_4=unroll_times=4;LOOP_5=folding=0;0
2533,17,2051,284,422,17,6041,2890,18,18,18.00,43,-,25.855ns,-,-,-,-,39,368,26,100,Cyber,array=RAM,array=RAM,array=EXPAND+array_index=const,array=LOGIC,array=RAM,unroll_times=all,folding=1,unroll_times=4,unroll_times=2,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=LOGIC;ARRAY_5=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=unroll_times=4;LOOP_4=unroll_times=2;LOOP_5=folding=1;100
7313,9,1866,374,5233,9,28752,6261,9,9,9.00,205,0,43.52ns,-,-,-,-,32,0,16,-50,Cyber,array=LOGIC,array=LOGIC,array=RAM,array=REG,array=EXPAND+array_index=const,folding=0,unroll_times=0,unroll_times=4,unroll_times=2,folding=1,ATTR=Cyber;ARRAY_1=array=LOGIC;ARRAY_2=array=LOGIC;ARRAY_3=array=RAM;ARRAY_4=array=REG;ARRAY_5=array=EXPAND+array_index=const;LOOP_1=folding=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=4;LOOP_4=unroll_times=2;LOOP_5=folding=1;-50
1992,18,1338,261,581,18,5521,2306,19,19,19.00,55,-,32.67ns,-,-,-,-,62,248,22,100,Cyber,array=REG,array=RAM,array=EXPAND+array_index=const,array=REG,array=RAM,unroll_times=0,folding=0,unroll_times=0,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=EXPAND+array_index=const;ARRAY_4=array=REG;ARRAY_5=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;LOOP_3=unroll_times=0;LOOP_4=folding=1;LOOP_5=unroll_times=all;100
2329,17,656,778,1592,17,9471,2619,18,18,18.00,64,-,33.1175ns,-,-,-,-,69,128,14,-50,Cyber,array=REG,array=RAM,array=RAM,array=LOGIC,array=RAM,folding=1,unroll_times=2,unroll_times=all,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=RAM;ARRAY_3=array=RAM;ARRAY_4=array=LOGIC;ARRAY_5=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=2;LOOP_3=unroll_times=all;LOOP_4=unroll_times=all;LOOP_5=folding=0;-50
