AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,ARRAY_2,ARRAY_3,LOOP_1,LOOP_2,LOOP_3,LOOP_4,LOOP_5,LOOP_6,FUNC_1,Attr
22454,15,4103,4722,13534,16,52740,18693,15,15,15.00,79,-,3.8219ns,-,-,-,-,34,-,-,50,Cyber,array=RAM,array=EXPAND+array_index=const,array=REG,folding=0,folding=0,unroll_times=all,folding=0,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;LOOP_3=unroll_times=all;LOOP_4=folding=0;LOOP_5=unroll_times=0;LOOP_6=unroll_times=0;FUNC_1=func=inline;50
25274,11,4948,5046,15147,16,60296,21399,11,11,11.00,117,0,3.6838ns,-,-,-,-,21,-,-,100,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=REG,unroll_times=all,folding=1,unroll_times=0,folding=0,folding=0,folding=0,func=inline,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=unroll_times=0;LOOP_4=folding=0;LOOP_5=folding=0;LOOP_6=folding=0;FUNC_1=func=inline;100
17050,13,915,5076,10912,32,38973,13043,13,13,13.00,115,0,6.6329ns,-,-,-,-,32,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,array=REG,folding=1,folding=0,folding=0,unroll_times=all,folding=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=all;LOOP_5=folding=0;LOOP_6=unroll_times=0;FUNC_1=func=inline;-100
5925,17,932,3384,1530,16,10366,4380,17,17,17.00,63,-,2.92ns,-,-,-,-,45,-,-,-100,Cyber,array=RAM,array=RAM,array=REG,folding=1,folding=0,folding=0,folding=0,folding=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=folding=0;LOOP_5=folding=0;LOOP_6=unroll_times=0;FUNC_1=func=inline;-100
6353,15,1464,3348,1441,32,11150,4788,15,15,15.00,68,-,2.3574ns,-,-,-,-,34,-,-,50,Cyber,array=REG,array=REG,array=RAM,folding=0,unroll_times=0,unroll_times=all,unroll_times=all,folding=1,folding=1,func=inline,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=REG;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=all;LOOP_4=unroll_times=all;LOOP_5=folding=1;LOOP_6=folding=1;FUNC_1=func=inline;50
6880,23,1577,3588,1596,16,12320,5356,24,24,24.00,103,-,2.2451ns,-,-,-,-,33,-,-,50,Cyber,array=RAM,array=REG,array=RAM,folding=0,unroll_times=all,unroll_times=all,unroll_times=all,folding=1,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;ARRAY_3=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=all;LOOP_3=unroll_times=all;LOOP_4=unroll_times=all;LOOP_5=folding=1;LOOP_6=unroll_times=all;FUNC_1=func=inline;50
14891,18,915,3162,10650,16,36322,11979,18,18,18.00,148,-,5.598ns,-,-,-,-,37,-,-,-100,Cyber,array=REG,array=EXPAND+array_index=const,array=RAM,folding=1,folding=0,folding=0,unroll_times=all,folding=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=REG;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;LOOP_3=folding=0;LOOP_4=unroll_times=all;LOOP_5=folding=0;LOOP_6=unroll_times=0;FUNC_1=func=inline;-100
9016,14,1191,5304,2416,32,15538,6448,14,14,14.00,73,-,3.49ns,-,-,-,-,33,-,-,0,Cyber,array=RAM,array=REG,array=REG,folding=0,unroll_times=0,unroll_times=all,folding=0,unroll_times=0,unroll_times=0,func=inline,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=REG;ARRAY_3=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;LOOP_3=unroll_times=all;LOOP_4=folding=0;LOOP_5=unroll_times=0;LOOP_6=unroll_times=0;FUNC_1=func=inline;0
22355,12,1352,5052,15785,16,54069,17856,12,12,12.00,150,0,3.7831ns,-,-,-,-,22,-,-,-50,Cyber,array=EXPAND+array_index=const,array=EXPAND+array_index=const,array=REG,unroll_times=all,folding=1,folding=0,folding=0,unroll_times=0,folding=0,func=inline,ATTR=Cyber;ARRAY_1=array=EXPAND+array_index=const;ARRAY_2=array=EXPAND+array_index=const;ARRAY_3=array=REG;LOOP_1=unroll_times=all;LOOP_2=folding=1;LOOP_3=folding=0;LOOP_4=folding=0;LOOP_5=unroll_times=0;LOOP_6=folding=0;FUNC_1=func=inline;-50
6078,13,1737,2988,1276,16,10803,4727,13,13,13.00,61,-,3.295ns,-,-,-,-,22,-,-,50,Cyber,array=RAM,array=RAM,array=REG,unroll_times=0,unroll_times=all,unroll_times=0,unroll_times=0,unroll_times=0,unroll_times=all,func=inline,ATTR=Cyber;ARRAY_1=array=RAM;ARRAY_2=array=RAM;ARRAY_3=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=all;LOOP_3=unroll_times=0;LOOP_4=unroll_times=0;LOOP_5=unroll_times=0;LOOP_6=unroll_times=all;FUNC_1=func=inline;50
